2023-11-05,?,ErigaisiArjun,NakamuraHikaru,2660,2750,2705,FIDE Grand Swiss 2023,Douglas IOM,B32,Sicilian DefenseKalashnikov Variation,11.1,½-½,39,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 d6 6.N1a3 a6 7.Nc3 Be6 8.Nc4 Nf6,
2023-11-04,?,NakamuraHikaru,CaruanaFabiano,2750,2781,2765,FIDE Grand Swiss 2023,Douglas IOM,C47,Four Knights GameScotch VariationAccepted,10.1,1-0,40,1.e4 e5 2.Nf3 Nf6 3.Nc3 Nc6 4.d4 exd4 5.Nxd4 Bb4 6.Nxc6 bxc6 7.Bd3 d5 8.exd5 O-O,
2023-11-03,?,NakamuraHikaru,CheparinovIvan,2750,2672,2711,FIDE Grand Swiss 2023,Douglas IOM,C42,Russian GameKaufmann Attack,9.3,1-0,61,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.c4 Be7 6.d4 d5 7.Bd3 Bb4+ 8.Nbd2 O-O,
2023-11-02,?,ViditSantosh Gujrathi,NakamuraHikaru,2723,2750,2736,FIDE Grand Swiss 2023,Douglas IOM,B22,Sicilian DefenseAlapin VariationBarmen Defense,8.1,½-½,16,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 Nf6 5.Nf3 e6 6.Na3 Qd8 7.Nc4 Be7 8.Bd3 Nbd7,
2023-11-01,?,NakamuraHikaru,PredkeAlexandr,2750,2682,2716,FIDE Grand Swiss 2023,Douglas IOM,B45,Sicilian DefenseFour Knights Variation,7.2,½-½,53,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.a3 d6 7.Be3 Be7 8.Bc4 Bd7,
2023-10-31,?,NakamuraHikaru,TologonteginSemetey,2750,2363,2556,Titled Tue 31st Oct Early,chess.com INT,A04,Zukertort OpeningSicilian Invitation,1,1-0,32,1.Nf3 c5 2.b3 Nc6 3.Bb2 Nf6 4.e3 d5 5.Bb5 Bd7 6.O-O Rc8 7.d3 Nb8 8.Bxd7+ Nbxd7,
2023-10-31,?,NakamuraHikaru,ChigaevMaksim,2750,2631,2690,Titled Tue 31st Oct Early,chess.com INT,E06,Catalan OpeningClosed Variation,5,1-0,39,1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.g3 Be7 5.Bg2 O-O 6.Nc3 c6 7.b3 a5 8.O-O b6,
2023-10-31,?,NakamuraHikaru,HalkiasStelios,2750,2527,2638,Titled Tue 31st Oct Early,chess.com INT,A04,Zukertort OpeningNimzo-Larsen Variation,3,1-0,27,1.Nf3 Nf6 2.b3 g6 3.d4 Bg7 4.Bb2 d6 5.e3 O-O 6.Be2 a5 7.c4 a4 8.b4 c5,
2023-10-31,?,NakamuraHikaru,MitrabhaGuha,2750,2510,2630,Titled Tue 31st Oct Early,chess.com INT,E10,Indian GameAnti-Nimzo-indian,10,1-0,32,1.Nf3 Nf6 2.d4 e6 3.c4 c5 4.d5 d6 5.Nc3 a6 6.a4 Qe7 7.Nd2 g6 8.g3 exd5,
2023-10-31,?,SvaneFrederik,NakamuraHikaru,2496,2750,2623,Titled Tue 31st Oct Early,chess.com INT,A20,English OpeningKing's English VariationGeneral,7,0-1,39,1.c4 e5 2.d3 Nc6 3.Nc3 Bb4 4.Bd2 Nge7 5.g3 h5 6.Nf3 d6 7.Bg2 f6 8.a3 Bxc3,
2023-10-31,?,TerryRenato,NakamuraHikaru,2504,2750,2627,Titled Tue 31st Oct Early,chess.com INT,D91,Gruenfeld DefenseThree Knights VariationPetrosian System,9,0-1,54,1.d4 Nf6 2.Nf3 d5 3.c4 g6 4.Nc3 Bg7 5.Bg5 Ne4 6.cxd5 Nxg5 7.Nxg5 e6 8.Qd2 exd5,
2023-10-31,?,KamskyGata,NakamuraHikaru,2658,2750,2704,Titled Tue 31st Oct Early,chess.com INT,A45,Indian GameGeneral,4,0-1,34,1.d4 Nf6 2.Bf4 d5 3.e3 c5 4.c3 Qb6 5.Qb3 c4 6.Qc2 g6 7.Nd2 Bf5 8.Qc1 Nc6,
2023-10-31,?,NakamuraHikaru,LeQuang Liem,2750,2709,2729,Titled Tue 31st Oct Early,chess.com INT,B21,Sicilian DefenseSmith-Morra GambitAcceptedClassical Formation,8,½-½,131,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 d6 6.Bc4 a6 7.O-O Nf6 8.Bf4 Bg4,
2023-10-31,?,KovalevVladislav,NakamuraHikaru,2623,2750,2686,Titled Tue 31st Oct Early,chess.com INT,B00,St. George DefenseGeneral,11,0-1,35,1.e4 a6 2.d3 c5 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nc6 6.O-O e5 7.c3 Nge7 8.Be3 d6,
2023-10-31,?,JanaszakDawid,NakamuraHikaru,2333,2750,2541,Titled Tue 31st Oct Early,chess.com INT,B00,St. George DefenseGeneral,2,0-1,25,1.e4 a6 2.d4 e6 3.Bd3 d5 4.e5 c5 5.c3 Bd7 6.a4 Nc6 7.Nf3 cxd4 8.cxd4 Bb4+,
2023-10-30,?,EsipenkoAndrey,NakamuraHikaru,2723,2750,2736,FIDE Grand Swiss 2023,Douglas IOM,B27,Sicilian DefenseHyperaccelerated Dragon,6.1,½-½,27,1.e4 c5 2.Nf3 g6 3.c3 d5 4.e5 a6 5.d4 Nc6 6.h3 Bg7 7.Be2 f6 8.exf6 Nxf6,
2023-10-29,?,NakamuraHikaru,SaranaAlexey,2750,2685,2717,FIDE Grand Swiss 2023,Douglas IOM,E10,Indian GameAnti-Nimzo-indian,5.2,1-0,70,1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.g3 Bb4+ 5.Bd2 Be7 6.Bg2 O-O 7.O-O Nbd7 8.Bc3 b6,
2023-10-26,?,SadhwaniRaunak,NakamuraHikaru,2616,2750,2683,FIDE Grand Swiss 2023,Douglas IOM,B22,Sicilian DefenseAlapin VariationBarmen Defense,2.17,½-½,25,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 g6 5.Nf3 Bg7 6.Na3 cxd4 7.Nb5 Na6 8.Be3 Nf6,
2023-10-25,?,NakamuraHikaru,SvaneRasmus,2750,2637,2693,FIDE Grand Swiss 2023,Douglas IOM,C53,Italian GameClassical VariationGiuoco Pianissimo,1.2,½-½,47,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 Bc5 5.c3 d6 6.O-O h6 7.Re1 O-O 8.h3 Bb6,
2023-10-18,?,MaghsoodlooParham,NakamuraHikaru,2701,2750,2725,Qatar Masters Open 2023,Doha QAT,D32,Tarrasch DefenseTwo Knights Variation,7.2,½-½,30,1.c4 e6 2.Nc3 d5 3.cxd5 exd5 4.d4 c5 5.Nf3 Nf6 6.Bg5 Be6 7.a3 c4 8.Bxf6 Qxf6,
